Id,Designator,Package,Quantity,Designation,Supplier and ref
1,G***,Dramco7500,1,LOGO,
2,G***,KULeuven4000,1,LOGO,
3,J2,PinHeader_1x06_P2.54mm_Vertical_SMD,1,SWD,
4,J1,PinHeader_1x06_P2.54mm_Vertical,1,SWD,
5,R3;R1,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,2,10k,
6,LED1,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,SML-D12Y1WT86,
7,C2;C1,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,2,4.3p,
8,C3;C5;C7;C8,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,4,100n,
9,R2,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,1k,
10,C4,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,1Âµ,
11,C6,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,1u,
12,J3,PinHeader_2x02_P2.54mm_Vertical_SMD,1,Conn_02x02_Counter_Clockwise,
13,J4,ConnectorHorizontalPcb,1,MASTER,
14,U1,LQFP-32_7x7mm_P0.8mm,1,STM32L072KZTx,
15,U2,PSON80P300X300X100-8N,1,BME680,
16,Y1,ABS25,1,ABS25-32.768KHZ-6-T,
